Pais ,Liga ,Temporada ,Fecha,Hora,Local (A),Visitante (A),Goles Local,Goles Visit,Resultado
Mexico,Liga MX,2013/2014,22/09/2013,02:06,Club Leon,Guadalajara Chivas,2,1,H
Mexico,Liga MX,2013/2014,22/09/2013,03:00,Atlas,Veracruz,3,3,D
Mexico,Liga MX,2013/2014,22/09/2013,18:00,Toluca,Queretaro,4,0,H
Mexico,Liga MX,2013/2014,28/09/2013,01:30,Queretaro,U.A.N.L.- Tigres,2,2,D
Mexico,Liga MX,2013/2014,28/09/2013,03:30,Santos Laguna,Monarcas,3,1,H
Mexico,Liga MX,2013/2014,28/09/2013,23:00,Cruz Azul,Club Leon,1,0,H
Mexico,Liga MX,2013/2014,28/09/2013,23:00,Veracruz,Club America,0,1,A
Mexico,Liga MX,2013/2014,29/09/2013,01:00,Monterrey,U.N.A.M.- Pumas,0,1,A
Mexico,Liga MX,2013/2014,29/09/2013,03:00,Chiapas,Pachuca,2,1,H
Mexico,Liga MX,2013/2014,29/09/2013,18:00,Puebla,Club Tijuana,2,0,H
Mexico,Liga MX,2013/2014,29/09/2013,18:00,Toluca,Atlante,7,1,H
Mexico,Liga MX,2013/2014,29/09/2013,23:00,Guadalajara Chivas,Atlas,1,1,D
Mexico,Liga MX,2013/2014,02/10/2013,02:00,Club America,Club Tijuana,2,0,H
Mexico,Liga MX,2013/2014,05/10/2013,01:30,Monarcas,Chiapas,2,1,H
Mexico,Liga MX,2013/2014,05/10/2013,03:30,Club Tijuana,Queretaro,1,0,H
Mexico,Liga MX,2013/2014,05/10/2013,23:00,Club America,Guadalajara Chivas,2,0,H
Mexico,Liga MX,2013/2014,06/10/2013,01:00,Atlante,Monterrey,2,1,H
Mexico,Liga MX,2013/2014,06/10/2013,01:00,Pachuca,Veracruz,1,1,D
Mexico,Liga MX,2013/2014,06/10/2013,01:00,U.A.N.L.- Tigres,Toluca,1,2,A
Mexico,Liga MX,2013/2014,06/10/2013,02:05,Club Leon,Puebla,3,1,H
Mexico,Liga MX,2013/2014,06/10/2013,03:00,Atlas,Cruz Azul,1,2,A
Mexico,Liga MX,2013/2014,06/10/2013,18:00,U.N.A.M.- Pumas,Santos Laguna,0,1,A
Mexico,Liga MX,2013/2014,19/10/2013,01:30,Queretaro,Club Leon,2,0,H
Mexico,Liga MX,2013/2014,19/10/2013,03:30,Santos Laguna,Monterrey,3,2,H
Mexico,Liga MX,2013/2014,19/10/2013,23:00,Cruz Azul,Club America,1,1,D
Mexico,Liga MX,2013/2014,19/10/2013,23:00,Veracruz,Monarcas,1,0,H
Mexico,Liga MX,2013/2014,20/10/2013,01:00,U.A.N.L.- Tigres,Atlante,3,1,H
Mexico,Liga MX,2013/2014,20/10/2013,03:00,Chiapas,U.N.A.M.- Pumas,1,1,D
Mexico,Liga MX,2013/2014,20/10/2013,18:00,Puebla,Atlas,2,0,H
Mexico,Liga MX,2013/2014,20/10/2013,18:00,Toluca,Club Tijuana,0,0,D
Mexico,Liga MX,2013/2014,20/10/2013,23:00,Guadalajara Chivas,Pachuca,1,3,A
Mexico,Liga MX,2013/2014,26/10/2013,01:30,Monarcas,Guadalajara Chivas,1,1,D
